,day,watch_events_day_count,pull_request_events_day_count
0,2016-12-01,44,36
1,2016-12-02,37,47
2,2016-12-03,24,19
3,2016-12-04,26,6
4,2016-12-05,40,40
5,2016-12-06,36,50
6,2016-12-07,29,36
7,2016-12-08,47,39
8,2016-12-09,36,34
9,2016-12-10,17,13
10,2016-12-11,26,6
11,2016-12-12,38,35
12,2016-12-13,36,37
13,2016-12-14,42,47
14,2016-12-15,44,39
15,2016-12-16,45,33
16,2016-12-17,25,10
17,2016-12-18,37,8
18,2016-12-19,33,43
19,2016-12-20,47,68
20,2016-12-21,44,51
21,2016-12-22,52,28
22,2016-12-23,30,5
23,2016-12-24,15,8
24,2016-12-25,13,6
25,2016-12-26,22,19
26,2016-12-27,31,34
27,2016-12-28,31,26
28,2016-12-29,34,29
29,2016-12-30,20,11
30,2016-12-31,20,6
