,day,watch_events_day_count,pull_request_events_day_count
0,2022-01-01,31,4
1,2022-01-02,63,18
2,2022-01-03,127,15
3,2022-01-04,133,23
4,2022-01-05,64,25
5,2022-01-06,79,16
6,2022-01-07,122,31
7,2022-01-08,129,12
8,2022-01-09,186,5
9,2022-01-10,183,21
10,2022-01-11,120,17
11,2022-01-12,74,19
12,2022-01-13,55,10
13,2022-01-14,47,19
14,2022-01-15,52,11
15,2022-01-16,41,6
16,2022-01-17,54,15
17,2022-01-18,59,21
18,2022-01-19,58,22
19,2022-01-20,44,23
20,2022-01-21,46,21
21,2022-01-22,53,13
22,2022-01-23,106,7
23,2022-01-24,112,22
24,2022-01-25,68,45
25,2022-01-26,59,17
26,2022-01-27,64,22
27,2022-01-28,56,28
28,2022-01-29,43,6
29,2022-01-30,50,3
30,2022-01-31,53,19
