,day,watch_events_day_count,pull_request_events_day_count
0,2022-02-01,30,21
1,2022-02-02,28,24
2,2022-02-03,40,16
3,2022-02-04,31,32
4,2022-02-05,26,15
5,2022-02-06,27,6
6,2022-02-07,35,24
7,2022-02-08,48,34
8,2022-02-09,28,29
9,2022-02-10,35,38
10,2022-02-11,33,90
11,2022-02-12,30,9
12,2022-02-13,31,4
13,2022-02-14,32,26
14,2022-02-15,48,35
15,2022-02-16,39,36
16,2022-02-17,58,33
17,2022-02-18,44,21
18,2022-02-19,32,8
19,2022-02-20,23,10
20,2022-02-21,43,24
21,2022-02-22,37,28
22,2022-02-23,45,32
23,2022-02-24,25,43
24,2022-02-25,38,19
25,2022-02-26,15,10
26,2022-02-27,35,16
27,2022-02-28,30,23
