,day,watch_events_day_count,pull_request_events_day_count
0,2021-04-01,55,20
1,2021-04-02,39,21
2,2021-04-03,35,3
3,2021-04-04,25,0
4,2021-04-05,27,9
5,2021-04-06,41,30
6,2021-04-07,58,30
7,2021-04-08,35,35
8,2021-04-09,36,33
9,2021-04-10,32,2
10,2021-04-11,26,1
11,2021-04-12,36,19
12,2021-04-13,49,10
13,2021-04-14,49,18
14,2021-04-15,48,16
15,2021-04-16,33,12
16,2021-04-17,30,13
17,2021-04-18,29,3
18,2021-04-19,37,14
19,2021-04-20,45,21
20,2021-04-21,39,25
21,2021-04-22,48,34
22,2021-04-23,35,16
23,2021-04-24,39,6
24,2021-04-25,42,3
25,2021-04-26,47,12
26,2021-04-27,44,15
27,2021-04-28,58,21
28,2021-04-29,145,7
29,2021-04-30,72,12
