,day,watch_events_day_count,pull_request_events_day_count
0,2017-09-01,108,13
1,2017-09-02,66,5
2,2017-09-03,69,1
3,2017-09-04,88,0
4,2017-09-05,89,11
5,2017-09-06,107,24
6,2017-09-07,133,12
7,2017-09-08,101,22
8,2017-09-09,65,2
9,2017-09-10,57,15
10,2017-09-11,96,22
11,2017-09-12,91,11
12,2017-09-13,68,15
13,2017-09-14,91,12
14,2017-09-15,90,7
15,2017-09-16,57,4
16,2017-09-17,60,0
17,2017-09-18,114,6
18,2017-09-19,128,13
19,2017-09-20,98,10
20,2017-09-21,80,9
21,2017-09-22,70,10
22,2017-09-23,105,6
23,2017-09-24,69,12
24,2017-09-25,123,27
25,2017-09-26,156,47
26,2017-09-27,199,57
27,2017-09-28,156,51
28,2017-09-29,163,21
29,2017-09-30,109,23
